Name,Highly_Influential_Citations,Highly_Influential_Citations_Updated,Semantic Scholar URL,hindexscopus2019,Papers_by_author_scopus_2019,Total_citations_scopus_2019,Hindex_2014_google_scholar,Hindex_google_scholar_overall,Scopus_URL,Google_scholar_URL,Affiliation,City,Citations All (Google Scholar),Citations (Since 2014),Expertise
Shourya Roy,41,41,https://www.semanticscholar.org/author/Shourya-Roy/2482992,11,55,535,13,19,https://www.scopus.com/authid/detail.uri?authorId=8454170300,https://scholar.google.co.in/citations?user=NQA1ZyMAAAAJ&hl=en,American Express,Bengaluru,1482,760,Text Mining Human Computation Data Mining Analytics Applied Machine Learning
Arun Iyer,41,48,https://www.semanticscholar.org/author/Arun-K-Iyer/2437496,4,5,49,8,9,https://www.scopus.com/authid/detail.uri?authorId=57201786521,https://scholar.google.com/citations?user=Ngm0j_EAAAAJ&hl=en,"IIT Bombay, Microsoft Research",Bengaluru,193,140,Machine Learning Information Extraction Web mining
Dipti Prasad Mukherjee,41,41,https://www.semanticscholar.org/author/Dipti-Prasad-Mukherjee/1966156,14,89,870,14,22,https://www.scopus.com/authid/detail.uri?authorId=15074063400,https://scholar.google.com/citations?user=lJbcSBUAAAAJ&hl=en,Indian Statistical Institute,Kolkata,1945,600,Image Processing Computer Vision Multimedia
Ganapathy Sriram,40,40,https://www.semanticscholar.org/author/Sriram-Ganapathy/1726355,14,76,645,13,17,https://www.scopus.com/authid/detail.uri?authorId=23392746400,https://scholar.google.com/citations?user=cgpzrtcAAAAJ&hl=en,IISc Bangalore,Bengaluru,992,649,Signal processing Speech Processing Machine Learning Deep Learning Auditory Neuroscience
Ajit Rajwade,39,39,https://www.semanticscholar.org/author/Ajit-Rajwade/1955264,8,33,378,7,10,https://www.scopus.com/authid/detail.uri?authorId=56032321600,https://scholar.google.co.in/citations?user=CkTW7PwAAAAJ&hl=en,IIT Bombay,Mumbai,576,452,Image Processing Computer Vision Compressed Sensing Tomographic Reconstruction Inverse Problems
Varun Aggarwal,38,44,https://www.semanticscholar.org/author/Varun-Aggarwal/38781578,3,10,37,11,17,https://www.scopus.com/authid/detail.uri?authorId=56898599100,https://scholar.google.com/citations?user=T9P8hx4AAAAJ&hl=en,Aspiring Minds,New Delhi,834,411,Machine Learning Education Assessments Labor Economics
Swagat Kumar,37,14,https://www.semanticscholar.org/author/Swagat-Kumar/40578964,8,41,250,9,10,https://www.scopus.com/authid/detail.uri?authorId=7405771174,https://scholar.google.com/citations?user=gXORbx0AAAAJ&hl=en,TCS,Bengaluru,478,306,Robotics Computer Vision Machine Learning
Swati Agarwal,36,35,https://www.semanticscholar.org/author/Swati-Agarwal/40297460,4,17,61,9,9,https://www.scopus.com/authid/detail.uri?authorId=55782498000,https://scholar.google.co.in/citations?user=-zk-xD0AAAAJ&hl=en,BITS Pilani,Goa,241,240,Social ComputingSocial InformaticsSecurity InformaticsNatural Language Processing Text Analytics
Amrita Saha,36,34,https://www.semanticscholar.org/author/Amrita-Saha/2909575,2,6,111,8,8,https://www.scopus.com/authid/detail.uri?authorId=56735433900,https://scholar.google.co.in/citations?user=3Zb5Y2YAAAAJ&hl=en,IBM,Bengaluru,342,286,Machine Learning Deep Learning
Sandipan Dandapat,35,35,https://www.semanticscholar.org/author/Sandipan-Dandapat/34725175,5,14,50,9,13,https://www.scopus.com/authid/detail.uri?authorId=55247116500,https://scholar.google.com/citations?user=DWD_FiQAAAAJ&hl=en,Google,Bengaluru,486,244,Machine Translation Natural Language Processing
K Madhava Krishna,35,36,https://www.semanticscholar.org/author/K.-Madhava-Krishna/2326733,4,15,50,14,19,https://www.scopus.com/authid/detail.uri?authorId=55665996500,https://scholar.google.com/citations?user=QDuPGHwAAAAJ&hl=en,IIIT Hyderabad,Hyderabad,1387,828,Robotics Computer Vision
Senthil Mani,34,30,https://www.semanticscholar.org/author/Senthil-Mani/40147882,9,37,261,10,14,https://www.scopus.com/authid/detail.uri?authorId=23389970000,https://scholar.google.com/citations?hl=en&user=k_hrDlYAAAAJ,IBM India,Bengaluru,625,397,Software Engineering - Knowledge Management - information retrieval - Mining Software Repositories
Om Damani,33,38,https://www.semanticscholar.org/author/Om-P.-Damani/2892957,10,20,55,10,15,https://www.scopus.com/authid/detail.uri?authorId=6602611396,https://scholar.google.com/citations?user=lcRCUawAAAAJ&hl=en,IIT Bombay,Mumbai,1170,303,Natural Language Processing Program Derivation
Sukhendu Das,31,31,https://www.semanticscholar.org/author/Sukhendu-Das/1680398,12,96,535,10,15,https://www.scopus.com/authid/detail.uri?authorId=55476994500,https://scholar.google.com/citations?user=nqDmEHUAAAAJ&hl=en,IIT Madras,Chennai,984,570,Computer Vision Pattern Recognition Computer Graphics
Sharat Chandran,31,30,https://www.semanticscholar.org/author/Sharat-Chandran/1734787,9,60,256,9,16,https://www.scopus.com/authid/detail.uri?authorId=56209571300,https://scholar.google.com/citations?user=pRDtIYcAAAAJ&hl=en,IIT Bombay,Mumbai,837,303,Parallel Computation Graphics Vision Image Processing
Randhir Singh,31,29,https://www.semanticscholar.org/author/Randhir-Singh/5530967,6,21,111,9,9,https://www.scopus.com/authid/detail.uri?authorId=57198437322,https://scholar.google.com/citations?user=aP15XjgAAAAJ&hl=en,Birla Institute of Technology Mesra,Ranchi,193,191,Numerical Analysis Singular Boundary Value Problems Wavelet Methods
